# List from http://www.wordfrequency.info/top5000.asp
# Word	POS	Frequency	Dispersion
water	n	167666 	0.96
room	n	172472 	0.92
write	v	161824 	0.98
mother	n	169407 	0.93
area	n	165812 	0.95
national	j	166359 	0.95
money	n	164794 	0.95
story	n	163582 	0.96
young	j	160011 	0.98
fact	n	164401 	0.95
month	n	162685 	0.96
different	j	162411 	0.96
lot	n	169570 	0.92
right	n	163259 	0.95
study	n	174069 	0.88
book	n	154013 	0.98
eye	n	169150 	0.89
job	n	154743 	0.96
word	n	152891 	0.97
though	c	152182 	0.97
business	n	154468 	0.95
issue	n	156417 	0.94
side	n	152559 	0.96
kind	n	155032 	0.95
four	m	150646 	0.97
head	n	160131 	0.91
far	r	148621 	0.98
black	j	150718 	0.96
long	j	149050 	0.97
both	d	146338 	0.97
little	j	149658 	0.94
house	n	149251 	0.94
yes	u	157364 	0.89
after	c	142289 	0.98
since	c	141264 	0.98
long	r	142007 	0.97
provide	v	150879 	0.91
service	n	146122 	0.94
around	i	143766 	0.96
friend	n	142697 	0.96
important	j	144194 	0.95
father	n	145051 	0.93
sit	v	147185 	0.92
away	r	144713 	0.93
until	c	140819 	0.96
power	n	141357 	0.95
hour	n	138955 	0.96
game	n	146311 	0.92
often	r	140731 	0.95
yet	r	135484 	0.98
line	n	135986 	0.98
political	j	144437 	0.92
end	n	134104 	0.98
among	i	138192 	0.94
ever	r	135774 	0.96
stand	v	140937 	0.92
bad	j	134910 	0.96
lose	v	134102 	0.97
however	r	142282 	0.91
member	n	134731 	0.95
pay	v	133133 	0.96
law	n	133706 	0.95
meet	v	128737 	0.98
car	n	133571 	0.94
city	n	132684 	0.95
almost	r	127907 	0.98
include	v	133563 	0.93
continue	v	126029 	0.98
set	v	127369 	0.97
later	r	126495 	0.98
community	n	133057 	0.93
much	r	126029 	0.98
name	n	127139 	0.97
five	m	125571 	0.97
once	r	126203 	0.97
white	j	126760 	0.96
least	r	123961 	0.98
president	n	134203 	0.9
learn	v	124346 	0.97
real	j	124187 	0.97
change	v	123183 	0.98
team	n	131489 	0.92
minute	n	126660 	0.95
best	j	124850 	0.96
several	d	124039 	0.97
idea	n	122140 	0.98
kid	n	126428 	0.95
body	n	125165 	0.96
information	n	127331 	0.94
nothing	p	126717 	0.94
ago	r	125252 	0.95
right	j	126278 	0.94
lead	v	122691 	0.97
social	j	132899 	0.89
understand	v	121354 	0.97
whether	c	121921 	0.96
back	n	125006 	0.94
watch	v	124976 	0.94
together	r	119186 	0.98
follow	v	119425 	0.97
around	r	122789 	0.94
parent	n	119610 	0.97
only	j	117700 	0.98
stop	v	121481 	0.94
face	n	127291 	0.89
anything	p	120292 	0.94
create	v	119419 	0.95
public	j	119825 	0.95
already	r	115220 	0.98
speak	v	117358 	0.96
others	n	115771 	0.97
read	v	114094 	0.97
level	n	121704 	0.91
allow	v	114892 	0.97
add	v	117842 	0.94
office	n	114791 	0.97
spend	v	114569 	0.97
door	n	124993 	0.88
health	n	117762 	0.94
person	n	113650 	0.97
art	n	117851 	0.93
sure	j	116186 	0.94
such	i	119125 	0.92
war	n	117804 	0.93
history	n	114904 	0.95
party	n	112962 	0.96
within	i	114599 	0.93
grow	v	110020 	0.97
result	n	116277 	0.92
open	v	111857 	0.94
change	n	112426 	0.94
morning	n	114002 	0.92
walk	v	113787 	0.92
reason	n	106863 	0.97
low	j	108990 	0.95
win	v	111478 	0.93
research	n	114802 	0.9
girl	n	110409 	0.93
guy	n	110409 	0.93
early	j	108171 	0.95
food	n	107728 	0.96
before	c	107448 	0.96
moment	n	109720 	0.94
himself	p	109288 	0.94
air	n	105932 	0.96
teacher	n	116100 	0.88
force	n	108005 	0.95
offer	v	106473 	0.96
enough	r	105880 	0.96
both	r	106361 	0.95
education	n	113731 	0.89
across	i	105559 	0.96
although	c	107925 	0.93
remember	v	106879 	0.94
foot	n	107285 	0.94
second	m	103621 	0.97
boy	n	107447 	0.93
maybe	r	108421 	0.92
toward	i	105984 	0.94
able	j	103171 	0.97
age	n	103402 	0.96
off	i	104122 	0.95
policy	n	107601 	0.92
everything	p	103591 	0.95
love	v	103681 	0.95
process	n	107341 	0.91
music	n	102657 	0.95
including	i	103650 	0.94
consider	v	101987 	0.96
appear	v	100671 	0.97
actually	r	105155 	0.92
buy	v	101105 	0.95
probably	r	99754 	0.96
human	j	101224 	0.94
wait	v	102463 	0.93
serve	v	99660 	0.95
market	n	100435 	0.94
die	v	98376 	0.96
send	v	96613 	0.97
expect	v	95566 	0.98
home	r	97937 	0.95
sense	n	95896 	0.97
build	v	96651 	0.96
stay	v	96933 	0.96
fall	v	96908 	0.95
oh	u	103613 	0.89
nation	n	97212 	0.95
plan	n	95824 	0.96
cut	v	96012 	0.95
college	n	97038 	0.94
interest	n	96620 	0.95
death	n	93222 	0.98
course	r	96224 	0.95
someone	p	95608 	0.95
experience	n	98106 	0.93
behind	i	95047 	0.93
reach	v	92375 	0.96
local	j	92970 	0.95
kill	v	92660 	0.95
six	m	90571 	0.97
remain	v	91319 	0.96
effect	n	95216 	0.92
use	n	96564 	0.9
yeah	u	103389 	0.84
suggest	v	92643 	0.93
class	n	91323 	0.94
control	n	90301 	0.94
raise	v	87036 	0.98
care	n	88862 	0.96
perhaps	r	87060 	0.98
little	r	88697 	0.95
late	j	86421 	0.98
hard	j	86817 	0.97
field	n	87243 	0.96
else	r	87876 	0.95
pass	v	86184 	0.97
former	d	88930 	0.94
sell	v	87865 	0.95
major	j	87487 	0.95
sometimes	r	84845 	0.98
require	v	89280 	0.93
along	i	84926 	0.97
development	n	91995 	0.9
themselves	p	85256 	0.97
report	v	88138 	0.93
role	n	88666 	0.92
better	j	83895 	0.98
economic	j	90392 	0.91
effort	n	86473 	0.95
up	i	85759 	0.95
decide	v	84035 	0.97
rate	n	87224 	0.94
strong	j	83677 	0.98
possible	j	85084 	0.96
heart	n	84536 	0.96
drug	n	86231 	0.94
show	n	86828 	0.94
leader	n	85438 	0.95
light	n	87427 	0.93
voice	n	89379 	0.9
wife	n	83601 	0.96
whole	j	83756 	0.96
police	n	85880 	0.93
mind	n	82808 	0.96
finally	r	81951 	0.97
pull	v	87243 	0.91
return	v	81812 	0.97
free	j	82090 	0.97
military	j	85152 	0.93
price	n	84443 	0.94
report	n	83174 	0.95
less	r	82930 	0.95
according	i	83773 	0.94
decision	n	82429 	0.95
explain	v	80797 	0.97
son	n	80895 	0.97
hope	v	81385 	0.96
even	c	79087 	0.98
develop	v	84835 	0.92
view	n	81338 	0.96
relationship	n	84549 	0.92
carry	v	79513 	0.97
town	n	79821 	0.97
road	n	80987 	0.95
drive	v	80476 	0.96
arm	n	84865 	0.91
TRUE	j	79299 	0.97
federal	j	81826 	0.94
break	v	79310 	0.97
better	r	78334 	0.98
difference	n	82911 	0.92
thank	v	88574 	0.86
receive	v	80250 	0.95
value	n	82942 	0.92
international	j	81610 	0.93
building	n	78487 	0.97
action	n	80009 	0.95
full	j	77547 	0.97
model	n	82973 	0.91
join	v	80609 	0.93
season	n	83743 	0.89
society	n	81192 	0.92
because	i	77116 	0.97
tax	n	80713 	0.92
director	n	79813 	0.93
early	r	75605 	0.98
position	n	77124 	0.96
player	n	81358 	0.91
agree	v	76753 	0.96
especially	r	76304 	0.96
record	n	77509 	0.94
pick	v	77197 	0.95
wear	v	77921 	0.94
paper	n	75383 	0.97
special	j	75298 	0.97
space	n	75395 	0.96
ground	n	74713 	0.97
form	n	78493 	0.92
support	v	76544 	0.94
event	n	75559 	0.95
official	n	79026 	0.91
whose	d	74914 	0.96
matter	n	73842 	0.97
everyone	p	74534 	0.96
center	n	74559 	0.96
couple	n	74871 	0.96
site	n	75932 	0.94
end	v	73099 	0.97
project	n	75446 	0.94
hit	v	73999 	0.95
base	v	75887 	0.93
activity	n	77980 	0.9
star	n	73695 	0.95
table	n	75228 	0.93
need	n	74877 	0.93
court	n	74112 	0.94
produce	v	74169 	0.94
eat	v	73505 	0.95
American	n	73063 	0.95
teach	v	72668 	0.95
oil	n	74386 	0.93
half	d	70930 	0.97
situation	n	72603 	0.95
easy	j	71602 	0.96
cost	n	73512 	0.94
industry	n	73055 	0.94
figure	n	74858 	0.92
face	v	69493 	0.98
street	n	71645 	0.95
image	n	72216 	0.94
itself	p	71093 	0.96
phone	n	71599 	0.95
either	r	69497 	0.97
data	n	76594 	0.88
cover	v	69387 	0.97
quite	r	69966 	0.96
picture	n	69229 	0.97
clear	j	68662 	0.98
practice	n	73745 	0.91
piece	n	68901 	0.97
land	n	69750 	0.96
recent	j	70685 	0.94
describe	v	71377 	0.93
product	n	70883 	0.94
doctor	n	69446 	0.95
wall	n	71390 	0.93
patient	n	72217 	0.91
worker	n	69962 	0.94
news	n	70051 	0.94
test	n	69870 	0.94
movie	n	69387 	0.94
certain	j	67228 	0.97
north	n	68046 	0.96
love	n	67495 	0.96
personal	j	67917 	0.96
open	j	67218 	0.97
support	n	69431 	0.93
simply	r	66712 	0.97
third	m	67037 	0.97
technology	n	69565 	0.93
catch	v	68214 	0.94
step	n	66232 	0.97
baby	n	67881 	0.94
computer	n	67399 	0.95
type	n	68481 	0.93
attention	n	65271 	0.97
draw	v	65198 	0.97
film	n	66724 	0.95
Republican	n	71611 	0.88
tree	n	66630 	0.94
source	n	66862 	0.94
red	j	66217 	0.94
nearly	r	64860 	0.96
organization	n	67278 	0.93
choose	v	64348 	0.97
cause	v	64531 	0.97
hair	n	69564 	0.89
look	n	66194 	0.94
point	v	62980 	0.98
century	n	65667 	0.94
evidence	n	65360 	0.94
window	n	68303 	0.9
difficult	j	63947 	0.96
listen	v	64984 	0.94
soon	r	63168 	0.96
culture	n	67128 	0.91
billion	m	65243 	0.93
chance	n	62682 	0.97
brother	n	63406 	0.95
energy	n	64139 	0.94
period	n	64534 	0.93
course	n	64012 	0.94
summer	n	62503 	0.96
less	d	62154 	0.96
realize	v	61732 	0.97
hundred	m	61266 	0.97
available	j	63187 	0.94
plant	n	63476 	0.93
likely	j	63002 	0.94
opportunity	n	62422 	0.95
term	n	62962 	0.94
short	j	60451 	0.98
letter	n	60369 	0.98
condition	n	63489 	0.93
choice	n	60487 	0.97
place	v	60927 	0.96
single	j	60072 	0.97
rule	n	61062 	0.95
daughter	n	60424 	0.96
administration	n	62071 	0.93
south	n	60630 	0.96
husband	n	60126 	0.96
Congress	n	62841 	0.92
floor	n	62458 	0.92
campaign	n	64172 	0.9
material	n	62440 	0.92
population	n	62999 	0.91
well	i	61219 	0.93
call	n	59543 	0.96
economy	n	60990 	0.93
medical	j	59424 	0.96
hospital	n	58669 	0.97
church	n	59466 	0.96
close	v	60884 	0.93
thousand	m	58307 	0.97
risk	n	60432 	0.94
current	j	61252 	0.92
fire	n	59386 	0.95
future	n	58020 	0.97
wrong	j	58988 	0.95
involve	v	59542 	0.94
defense	n	59701 	0.94
anyone	p	58274 	0.96
increase	v	60442 	0.93
security	n	58914 	0.95
bank	n	58992 	0.94
myself	p	59716 	0.93
certainly	r	59739 	0.93
west	n	58169 	0.95
sport	n	59006 	0.94
board	n	58436 	0.95
seek	v	58495 	0.94
per	i	59432 	0.93
subject	n	61397 	0.9
officer	n	57617 	0.96
private	j	57248 	0.96
rest	n	56714 	0.97
behavior	n	62625 	0.88
deal	v	57462 	0.96
performance	n	59909 	0.92
fight	v	56886 	0.96
throw	v	57784 	0.95
top	n	57743 	0.95
quickly	r	56454 	0.97
past	j	56588 	0.96
goal	n	58728 	0.93
second	n	56022 	0.97
bed	n	60304 	0.9
order	n	56483 	0.96
author	n	58300 	0.93
fill	v	56915 	0.95
represent	v	58744 	0.92
focus	v	57177 	0.94
foreign	j	57540 	0.94
drop	v	56448 	0.95
plan	v	55829 	0.96
blood	n	56351 	0.95
upon	i	57033 	0.94
agency	n	56954 	0.94
push	v	56103 	0.95
nature	n	57929 	0.92
color	n	56978 	0.94
no	r	54602 	0.98
recently	r	55992 	0.95
store	n	56147 	0.95
reduce	v	57029 	0.93
sound	n	56828 	0.94
note	v	57025 	0.93
fine	j	55174 	0.96
before	r	55608 	0.95
near	i	54869 	0.96
movement	n	56201 	0.94
page	n	55937 	0.94
enter	v	54479 	0.96
share	v	54010 	0.97
than	i	55719 	0.94
common	j	55940 	0.93
poor	j	53820 	0.97
other	p	54372 	0.96
natural	j	55526 	0.94
race	n	54838 	0.95
concern	n	55203 	0.94
series	n	54549 	0.95
significant	j	58947 	0.88
similar	j	55901 	0.92
hot	j	54601 	0.95
language	n	55799 	0.92
each	p	53663 	0.96
usually	r	53477 	0.96
response	n	56342 	0.91
dead	j	55111 	0.93
rise	v	53542 	0.95
animal	n	53127 	0.96
factor	n	57612 	0.89
decade	n	53727 	0.95
article	n	54871 	0.93
shoot	v	53038 	0.95
east	n	53010 	0.95
save	v	52067 	0.97
seven	m	52011 	0.97
artist	n	54353 	0.92
away	i	52005 	0.96
scene	n	51248 	0.97
stock	n	54305 	0.91
career	n	52101 	0.95
despite	i	51526 	0.96
central	j	52501 	0.94
eight	m	50871 	0.97
thus	r	57039 	0.87
treatment	n	53390 	0.92
beyond	i	50742 	0.97
happy	j	51669 	0.95
exactly	r	52685 	0.93
protect	v	50649 	0.97
approach	n	53980 	0.91
lie	v	51657 	0.95
size	n	51868 	0.95
dog	n	52347 	0.94
fund	n	53859 	0.91
serious	j	50285 	0.97
occur	v	52768 	0.93
media	n	51798 	0.94
ready	j	50833 	0.96
sign	n	50045 	0.98
thought	n	51509 	0.95
list	n	50678 	0.96
individual	n	54738 	0.89
simple	j	50583 	0.96
quality	n	52224 	0.93
pressure	n	50773 	0.96
accept	v	49952 	0.97
answer	n	49969 	0.97
hard	r	50793 	0.95
resource	n	53398 	0.9
identify	v	53484 	0.9
left	j	50479 	0.95
meeting	n	49916 	0.96
determine	v	52130 	0.92
prepare	v	49208 	0.98
disease	n	51211 	0.94
whatever	d	50200 	0.96
success	n	50541 	0.95
argue	v	51013 	0.94
cup	n	53633 	0.89
particularly	r	50329 	0.95
amount	n	49944 	0.95
ability	n	51476 	0.93
staff	n	50177 	0.95
recognize	v	50042 	0.95
indicate	v	53215 	0.89
character	n	49530 	0.96
growth	n	50904 	0.93
loss	n	49759 	0.95
degree	n	50612 	0.94
wonder	v	50875 	0.93
attack	n	50898 	0.93
herself	p	52915 	0.89
region	n	50914 	0.93
television	n	49673 	0.95
box	n	49667 	0.95
TV	n	49438 	0.95
training	n	49997 	0.93
pretty	r	50385 	0.93
trade	n	49696 	0.94
deal	n	48975 	0.95
election	n	51322 	0.91
everybody	p	51147 	0.91
physical	j	51451 	0.9
lay	v	49358 	0.94
general	j	49657 	0.93
feeling	n	47349 	0.98
standard	n	49876 	0.93
bill	n	49011 	0.94
message	n	47533 	0.97
fail	v	47503 	0.97
outside	i	46628 	0.98
arrive	v	47435 	0.97
analysis	n	53840 	0.85
benefit	n	48594 	0.94
name	v	47375 	0.97
sex	n	47827 	0.95
forward	r	47877 	0.95
lawyer	n	47853 	0.95
present	v	49659 	0.92
section	n	49764 	0.91
environmental	j	51192 	0.88
glass	n	49686 	0.91
answer	v	47661 	0.95
skill	n	50431 	0.9
sister	n	48183 	0.94
PM	r	54765 	0.82
professor	n	46575 	0.97
operation	n	47276 	0.95
financial	j	47803 	0.94
crime	n	48010 	0.93
stage	n	46346 	0.97
ok	r	54697 	0.82
compare	v	48094 	0.93
authority	n	47309 	0.94
miss	v	46525 	0.96
design	n	48605 	0.92
sort	n	47086 	0.95
one	n	45596 	0.98
act	v	45648 	0.98
ten	m	46827 	0.95
knowledge	n	50335 	0.88
gun	n	47305 	0.94
station	n	46299 	0.96
blue	j	47622 	0.93
state	v	47977 	0.93
strategy	n	49126 	0.9
little	d	45469 	0.97
clearly	r	45912 	0.96
discuss	v	46852 	0.94
indeed	r	46184 	0.95
force	v	44931 	0.97
truth	n	45155 	0.97
song	n	45352 	0.96
example	n	47134 	0.93
democratic	j	47299 	0.92
check	v	45760 	0.95
environment	n	47807 	0.91
leg	n	47477 	0.91
dark	j	47565 	0.91
public	n	45684 	0.95
various	j	46777 	0.92
rather	r	44934 	0.96
laugh	v	48567 	0.89
guess	v	48046 	0.9
executive	n	47338 	0.91
set	n	45121 	0.96
study	v	44897 	0.96
prove	v	44304 	0.97
hang	v	46632 	0.92
entire	j	43997 	0.98
rock	n	45225 	0.95
design	v	45946 	0.94
enough	d	44378 	0.97
forget	v	45571 	0.94
since	i	45591 	0.94
claim	v	44259 	0.97
note	n	44720 	0.96
remove	v	44683 	0.96
manager	n	46187 	0.93
help	n	43721 	0.98
close	j	43568 	0.98
sound	v	45311 	0.94
enjoy	v	44020 	0.97
network	n	45122 	0.94
legal	j	44820 	0.95
religious	j	46425 	0.91
cold	j	44649 	0.95
form	v	44646 	0.95
final	j	43589 	0.97
main	j	43707 	0.97
science	n	45726 	0.92
green	j	44673 	0.94
memory	n	43531 	0.97
card	n	43605 	0.96
above	i	44130 	0.95
seat	n	44404 	0.95
cell	n	44831 	0.94
establish	v	45921 	0.91
nice	j	44792 	0.93
trial	n	44489 	0.94
expert	n	43898 	0.95
that	r	43359 	0.96
spring	n	44085 	0.95
firm	n	44704 	0.93
Democrat	n	46905 	0.88
radio	n	43156 	0.96
visit	v	42941 	0.96
management	n	45112 	0.92
care	v	42978 	0.96
avoid	v	42890 	0.96
imagine	v	43487 	0.95
tonight	r	47549 	0.87
huge	j	42582 	0.96
ball	n	43512 	0.94
no	u	44951 	0.91
close	r	42826 	0.95
finish	v	43143 	0.95
yourself	p	43401 	0.94
talk	n	43267 	0.94
theory	n	45553 	0.9
impact	n	43782 	0.93
respond	v	42139 	0.96
statement	n	42941 	0.94
maintain	v	43493 	0.93
charge	n	42353 	0.95
popular	j	42399 	0.95
traditional	j	43681 	0.92
onto	i	43538 	0.92
reveal	v	42605 	0.94
direction	n	41280 	0.97
weapon	n	43158 	0.93
employee	n	42824 	0.93
cultural	j	45673 	0.87
contain	v	42542 	0.94
peace	n	42273 	0.94
head	v	41658 	0.95
control	v	41771 	0.95
base	n	41154 	0.96
pain	n	41350 	0.96
apply	v	42391 	0.93
play	n	41662 	0.95
measure	n	43938 	0.9
wide	j	41233 	0.96
shake	v	45160 	0.87
fly	v	41373 	0.95
interview	n	41594 	0.95
manage	v	40536 	0.97
chair	n	43256 	0.91
fish	n	41488 	0.95
particular	j	42291 	0.93
camera	n	41218 	0.95
structure	n	43638 	0.9
politics	n	41758 	0.94
perform	v	41667 	0.94
bit	n	41915 	0.93
weight	n	41919 	0.93
suddenly	r	43382 	0.9
discover	v	40489 	0.97
candidate	n	43251 	0.9
top	j	41484 	0.94
production	n	42052 	0.93
treat	v	40264 	0.97
trip	n	40423 	0.96
evening	n	40881 	0.95
affect	v	41496 	0.93
inside	i	40856 	0.95
conference	n	40643 	0.95
unit	n	41087 	0.94
best	r	39959 	0.97
style	n	40889 	0.94
adult	n	40705 	0.95
worry	v	40210 	0.96
range	n	41326 	0.93
mention	v	39815 	0.97
rather	i	41558 	0.93
far	j	39967 	0.96
deep	j	40126 	0.96
past	n	39559 	0.97
edge	n	40960 	0.94
individual	j	42325 	0.9
specific	j	42397 	0.9
writer	n	39666 	0.96
trouble	n	39659 	0.96
necessary	j	40776 	0.93
throughout	i	40170 	0.95
challenge	n	40380 	0.94
fear	n	38857 	0.98
shoulder	n	42843 	0.89
institution	n	42153 	0.9
middle	j	40402 	0.94
sea	n	39516 	0.96
dream	n	39613 	0.96
bar	n	39853 	0.95
beautiful	j	40052 	0.94
property	n	40027 	0.94
instead	r	39051 	0.97
improve	v	40214 	0.94
stuff	n	40180 	0.94
detail	n	38750 	0.97
method	n	42667 	0.88
sign	v	39418 	0.95
somebody	p	41639 	0.9
magazine	n	39197 	0.96
hotel	n	39642 	0.95
soldier	n	39552 	0.95
reflect	v	40687 	0.92
heavy	j	39160 	0.96
sexual	j	41865 	0.89
cause	n	38843 	0.96
bag	n	40007 	0.93
heat	n	40363 	0.92
fall	n	38822 	0.96
marriage	n	38517 	0.96
tough	j	39600 	0.94
sing	v	38575 	0.96
surface	n	39367 	0.94
purpose	n	40084 	0.92
exist	v	39341 	0.94
pattern	n	40397 	0.91
whom	p	37950 	0.97
skin	n	39893 	0.92
agent	n	38265 	0.96
owner	n	39492 	0.93
machine	n	38407 	0.96
gas	n	38194 	0.96
down	i	39633 	0.93
ahead	r	39705 	0.92
generation	n	38323 	0.96
commercial	j	40608 	0.9
address	v	39774 	0.92
cancer	n	39407 	0.93
test	v	38644 	0.95
item	n	40336 	0.91
reality	n	38397 	0.95
coach	n	40716 	0.9
step	v	39356 	0.93
Mrs	n	40545 	0.9
yard	n	39253 	0.93
beat	v	38268 	0.95
violence	n	38474 	0.94
total	j	38798 	0.93
tend	v	38295 	0.94
investment	n	38810 	0.93
discussion	n	39616 	0.91
finger	n	40842 	0.88
garden	n	38800 	0.93
notice	v	38910 	0.92
collection	n	38431 	0.93
modern	j	38372 	0.93
task	n	39209 	0.91
partner	n	37540 	0.95
positive	j	39310 	0.91
civil	j	37742 	0.95
kitchen	n	39332 	0.91
consumer	n	38079 	0.94
shot	n	37505 	0.95
budget	n	39165 	0.91
wish	v	37532 	0.95
painting	n	39264 	0.91
scientist	n	37700 	0.94
safe	j	36547 	0.97
agreement	n	38141 	0.93
capital	n	37443 	0.95
mouth	n	40200 	0.88
nor	c	37230 	0.95
victim	n	36878 	0.96
newspaper	n	37522 	0.94
instead	i	36247 	0.97
threat	n	37022 	0.95
responsibility	n	37084 	0.95
smile	v	41473 	0.85
attorney	n	37959 	0.92
score	n	39294 	0.89
account	n	36786 	0.95
interesting	j	37473 	0.93
break	n	40348 	0.86
audience	n	36227 	0.96
rich	j	35940 	0.97
dinner	n	37156 	0.94
figure	v	36137 	0.96
vote	n	39464 	0.88
western	j	37389 	0.93
relate	v	39143 	0.89
travel	v	35746 	0.97
debate	n	37228 	0.93
prevent	v	36421 	0.95
citizen	n	36408 	0.95
majority	n	36758 	0.94
none	p	35359 	0.98
front	i	37363 	0.92
born	v	35352 	0.97
admit	v	35143 	0.97
senior	j	36598 	0.93
assume	v	35960 	0.95
wind	n	36478 	0.94
key	j	36056 	0.95
professional	j	36319 	0.93
mission	n	35217 	0.96
fast	r	35474 	0.95
